ReactionID	Reversible	FluxBound
r_1365	false	greaterEqual
r_1364	false	greaterEqual
r_1367	false	greaterEqual
r_1366	false	greaterEqual
r_1361	false	greaterEqual
r_1360	false	greaterEqual
r_1363	false	greaterEqual
r_1362	false	greaterEqual
r_2140	true	greaterEqual
r_2141	true	greaterEqual
r_2142	true	greaterEqual
r_2143	true	greaterEqual
r_1369	false	greaterEqual
r_1368	false	greaterEqual
r_2146	true	greaterEqual
r_2147	true	greaterEqual
r_2499	true	greaterEqual
r_3507	true	greaterEqual
r_3184	true	greaterEqual
r_2548	true	greaterEqual
r_2549	true	greaterEqual
r_2544	true	greaterEqual
r_2545	true	greaterEqual
r_2546	true	greaterEqual
r_2547	true	greaterEqual
r_2540	true	greaterEqual
r_2541	true	greaterEqual
r_2542	true	greaterEqual
r_2543	true	greaterEqual
r_1707	true	reversible
r_1706	true	greaterEqual
r_1705	true	greaterEqual
r_1704	true	reversible
r_1703	true	greaterEqual
r_1702	true	greaterEqual
r_1701	true	reversible
r_1700	true	reversible
r_2490	true	greaterEqual
r_1709	true	greaterEqual
r_1708	true	reversible
r_2491	true	greaterEqual
r_3183	true	greaterEqual
r_2144	true	greaterEqual
r_2145	true	greaterEqual
r_2494	true	greaterEqual
r_1968	true	greaterEqual
r_1967	true	greaterEqual
r_1966	true	reversible
r_1965	true	reversible
r_1964	true	reversible
r_1963	true	reversible
r_3701	true	reversible
r_3700	true	reversible
r_3703	true	reversible
r_3702	true	reversible
r_3705	true	reversible
r_3704	true	reversible
r_3707	true	reversible
r_3706	true	reversible
r_3709	true	reversible
r_3708	true	reversible
r_1563	true	greaterEqual
r_1562	true	reversible
r_1560	true	reversible
r_1567	true	reversible
r_1566	true	greaterEqual
r_1565	true	greaterEqual
r_1564	true	greaterEqual
r_1568	true	reversible
r_2509	true	greaterEqual
r_3764	true	reversible
r_2030	true	greaterEqual
r_2031	true	reversible
r_2032	true	reversible
r_2033	true	greaterEqual
r_2034	true	greaterEqual
r_2036	true	reversible
r_2037	true	reversible
r_2038	true	greaterEqual
r_2039	true	greaterEqual
r_3523	true	reversible
r_3522	true	reversible
r_3525	true	reversible
r_3524	true	reversible
r_3527	true	reversible
r_3526	true	reversible
r_2818	true	greaterEqual
r_2819	true	greaterEqual
r_2816	true	greaterEqual
r_2817	true	greaterEqual
r_2814	true	greaterEqual
r_2815	true	greaterEqual
r_2812	true	greaterEqual
r_2813	true	greaterEqual
r_2810	true	reversible
r_2811	true	reversible
r_3503	true	greaterEqual
r_3050	true	greaterEqual
r_3501	true	greaterEqual
r_2724	true	reversible
r_2725	true	reversible
r_2726	true	reversible
r_2727	true	reversible
r_2720	true	reversible
r_2721	true	reversible
r_2722	true	reversible
r_2723	true	reversible
r_3143	true	greaterEqual
r_3142	true	greaterEqual
r_3141	true	greaterEqual
r_3140	true	greaterEqual
r_2728	true	reversible
r_2729	true	reversible
r_3145	true	greaterEqual
r_3144	true	greaterEqual
r_3455	true	greaterEqual
r_3454	true	greaterEqual
r_3457	true	greaterEqual
r_3456	true	greaterEqual
r_3451	true	greaterEqual
r_3450	true	greaterEqual
r_3453	true	greaterEqual
r_3452	true	greaterEqual
r_3056	true	greaterEqual
r_3459	true	greaterEqual
r_3458	true	greaterEqual
r_2638	true	reversible
r_0849	true	greaterEqual
r_0848	true	greaterEqual
r_0843	true	greaterEqual
r_0842	true	greaterEqual
r_0841	true	greaterEqual
