ReactionID	Enzymes	Annotation
r_0001	((YEL039C AND YEL071W) OR (YJR048W AND YEL071W) OR (YDL174C AND YEL039C) OR (YDL174C AND YJR048W))	http://identifiers.org/kegg.reaction/R00197
r_0002	((YDL178W AND YEL039C) OR (YDL178W AND YJR048W))	http://identifiers.org/kegg.reaction/R00197
r_0003	YAL060W	http://identifiers.org/kegg.reaction/R02946,http://identifiers.org/pubmed/10938079
r_0004	((YML054C AND YEL039C) OR (YML054C AND YJR048W))	http://identifiers.org/kegg.reaction/R00196
r_0005	(YGR032W OR YLR342W)	http://identifiers.org/kegg.reaction/R03118,http://identifiers.org/pubmed/7649185
r_0006	(YGR143W OR YPR159W)	http://identifiers.org/pubmed/8321211
r_0007	YIL020C	http://identifiers.org/kegg.reaction/R04640
r_0012	YHR037W	http://identifiers.org/pubmed/387737
r_0013	(YMR009W AND YEL038W)	http://identifiers.org/pubmed/14506228
r_0014	YOL066C	http://identifiers.org/pubmed/9068650
r_0015	YBR153W	http://identifiers.org/kegg.reaction/R09376,http://identifiers.org/pubmed/9068650
r_0016	(YMR108W OR (YCL009C AND YMR108W))	http://identifiers.org/kegg.reaction/R08648,http://identifiers.org/pubmed/8972574
r_0017	YNL256W	http://identifiers.org/kegg.reaction/R03503
r_0018	(YER152C OR YGL202W OR YJL060W)	http://identifiers.org/kegg.reaction/R01939,http://identifiers.org/pubmed/10714900,http://identifiers.org/pubmed/19342587
r_0019	YHR063C	http://identifiers.org/kegg.reaction/R02472
r_0020	YDR035W	http://identifiers.org/kegg.reaction/R01826
r_0021	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	http://identifiers.org/kegg.reaction/R04983,http://identifiers.org/pubmed/15792955
r_0022	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	http://identifiers.org/kegg.reaction/R04982,http://identifiers.org/pubmed/15792955
r_0023	YGL009C	http://identifiers.org/kegg.reaction/R03968,http://identifiers.org/pubmed/3071717
r_0024	(YOR108W OR YNL104C)	http://identifiers.org/kegg.reaction/R01213,http://identifiers.org/pubmed/6090272
r_0025	YNL104C	http://identifiers.org/kegg.reaction/R01213,http://identifiers.org/pubmed/6090272
r_0026		http://identifiers.org/kegg.reaction/R07396,http://identifiers.org/pubmed/14506228
r_0027	YDR234W	http://identifiers.org/kegg.reaction/R03444,http://identifiers.org/pubmed/5908136
r_0028	YPR001W	http://identifiers.org/kegg.reaction/R00931,http://identifiers.org/pubmed/16332871
r_0029	YJR148W	http://identifiers.org/kegg.reaction/R01652
r_0030	YHR208W	http://identifiers.org/kegg.reaction/R01652
r_0032	YOL064C	http://identifiers.org/kegg.reaction/R00188,http://identifiers.org/pubmed/7809627
r_0033	(YGL248W OR YOR360C)	http://identifiers.org/kegg.reaction/R00191
r_0034	YOR360C	NA
r_0035	YOR360C	NA
r_0036	YOR360C	http://identifiers.org/kegg.reaction/R01234
r_0037	YOR360C	NA
r_0038	YDR487C	http://identifiers.org/kegg.reaction/R07281,http://identifiers.org/pubmed/12595523
r_0039	YDR127W	http://identifiers.org/kegg.reaction/R03084
r_0040	YDR127W	http://identifiers.org/kegg.reaction/R03083,http://identifiers.org/pubmed/6355828
r_0041	YBR265W	http://identifiers.org/kegg.reaction/R02978,http://identifiers.org/pubmed/18296751,http://identifiers.org/pubmed/9804843
r_0042	(YDR035W OR YBR249C)	http://identifiers.org/kegg.reaction/R01826,http://identifiers.org/pubmed/2880280
r_0043		http://identifiers.org/kegg.reaction/R06865,http://identifiers.org/pubmed/15792955
r_0044		http://identifiers.org/kegg.reaction/R06866,http://identifiers.org/pubmed/15792955
r_0045	YLR231C	http://identifiers.org/kegg.reaction/R02668
r_0057	YKR009C	http://identifiers.org/kegg.reaction/R04739
r_0058	YJR025C	http://identifiers.org/pubmed/9539135
r_0059	YER175C	http://identifiers.org/pubmed/15147181
r_0060	YGL009C	http://identifiers.org/kegg.reaction/R04001,http://identifiers.org/pubmed/3071717
r_0061	YCL018W	http://identifiers.org/kegg.reaction/R04426,http://identifiers.org/pubmed/6297759
r_0062	(YLR134W OR YGR087C OR YLR044C)	http://identifiers.org/pubmed/12902239
r_0063	YBR176W	http://identifiers.org/kegg.reaction/R01226
r_0064	(YLR134W OR YDL080C OR YGR087C OR YLR044C)	http://identifiers.org/kegg.reaction/R03894,http://identifiers.org/pubmed/12902239
r_0065	YDR127W	http://identifiers.org/kegg.reaction/R03460,http://identifiers.org/pubmed/6355828
r_0066	YNR033W	http://identifiers.org/kegg.reaction/R01716
r_0067	YMR289W	http://identifiers.org/kegg.reaction/R05553
r_0068	YGR019W	http://identifiers.org/kegg.reaction/R01648,http://identifiers.org/pubmed/10590462
r_0069	YCR053W	http://identifiers.org/kegg.reaction/R05086,http://identifiers.org/pubmed/8082795
r_0070		http://identifiers.org/kegg.reaction/R01301,http://identifiers.org/pubmed/11583838
r_0072	YDL080C	http://identifiers.org/pubmed/12902239
r_0073	(YOR163W OR YLR410W)	http://identifiers.org/kegg.reaction/R05779,http://identifiers.org/pubmed/17412958
r_0074	YDR017C	http://identifiers.org/pubmed/17412958
r_0075	YLR017W	http://identifiers.org/kegg.reaction/R01402,http://identifiers.org/pubmed/14506228
r_0076	YGL224C	http://identifiers.org/kegg.reaction/R00511,http://identifiers.org/pubmed/11934891
r_0077	YOR155C	http://identifiers.org/kegg.reaction/R01126,http://identifiers.org/pubmed/12735798
r_0078	YGL224C	http://identifiers.org/kegg.reaction/R00963,http://identifiers.org/pubmed/11934891
r_0079	YGR061C	http://identifiers.org/kegg.reaction/R04463
r_0080	(YPL023C OR YGL125W)	http://identifiers.org/kegg.reaction/R01224,http://identifiers.org/pubmed/21623372
r_0081	YDR232W	http://identifiers.org/kegg.reaction/R00830
r_0082	YOR163W	http://identifiers.org/kegg.reaction/R05779,http://identifiers.org/pubmed/10419486
r_0083	YDR017C	http://identifiers.org/kegg.reaction/R09087,http://identifiers.org/pubmed/11956213
r_0084	YER183C	http://identifiers.org/kegg.reaction/R02301
r_0085	YER091C	http://identifiers.org/kegg.reaction/R04405,http://identifiers.org/pubmed/3542720
r_0086		http://identifiers.org/kegg.reaction/R07392,http://identifiers.org/pubmed/14506228
r_0087		http://identifiers.org/kegg.reaction/R04420,http://identifiers.org/pubmed/14506228
r_0088	YLR410W	http://identifiers.org/pubmed/17412958
r_0089	YLR410W	http://identifiers.org/pubmed/17412958
r_0090	(YOL136C OR YIL107C)	NA
r_0091	(YGR248W OR YHR163W)	http://identifiers.org/kegg.reaction/R02035,http://identifiers.org/pubmed/14454532
r_0092	(YOR163W OR YLR410W)	http://identifiers.org/kegg.reaction/R05779,http://identifiers.org/pubmed/17412958
r_0093	YDR017C	http://identifiers.org/pubmed/17412958
r_0094		http://identifiers.org/kegg.reaction/R03210,http://identifiers.org/pubmed/16269718
r_0095	(YLR134W OR YGR087C OR YLR044C)	http://identifiers.org/pubmed/12902239
r_0096	YLR355C	http://identifiers.org/pubmed/8972574
r_0097	(YMR108W OR (YCL009C AND YMR108W))	http://identifiers.org/kegg.reaction/R00006,http://identifiers.org/pubmed/8972574
r_0099	YKL192C	http://identifiers.org/kegg.reaction/R01624,http://identifiers.org/pubmed/15387819
r_0100	YIL160C	NA
r_0101	YIL160C	NA
r_0102	YIL160C	http://identifiers.org/kegg.reaction/R03991
r_0103	YPL028W	NA
r_0104	YPL028W	NA
r_0105	YIL160C	http://identifiers.org/kegg.reaction/R03858
r_0106	YIL160C	http://identifiers.org/kegg.reaction/R03778
r_0107	YIL160C	http://identifiers.org/kegg.reaction/R04742
r_0108	YMR207C	http://identifiers.org/kegg.reaction/R00742,http://identifiers.org/pubmed/14761959
r_0109	(YNR016C AND YDL141W)	http://identifiers.org/kegg.reaction/R00742
r_0111	YBL015W	http://identifiers.org/kegg.reaction/R00227
r_0112	(YAL054C OR YLR153C)	http://identifiers.org/kegg.reaction/R00235,http://identifiers.org/pubmed/8910545
r_0113	YAL054C	http://identifiers.org/kegg.reaction/R00235
r_0114	YLR153C	http://identifiers.org/kegg.reaction/R00235,http://identifiers.org/pubmed/16857587
r_0115	YER069W	http://identifiers.org/kegg.reaction/R02649
r_0116	(YBR093C OR YAR071W)	http://identifiers.org/kegg.reaction/R00548,http://identifiers.org/pubmed/13405892
r_0117	YPR002W	http://identifiers.org/pubmed/16332871
r_0118	YOL140W	http://identifiers.org/kegg.reaction/R02283
r_0119	YPL148C	NA
r_0120	YGL205W	NA
r_0121	YGL205W	NA
r_0122	YGL205W	NA
r_0123	YGL205W	NA
r_0124	YGL205W	NA
r_0125	YGL205W	NA
r_0126	YCR048W	http://identifiers.org/pubmed/10672016
r_0127	(YCR048W OR YNR019W)	http://identifiers.org/pubmed/10672016
r_0128	YCR048W	http://identifiers.org/pubmed/10672016
