reaction	rMech	modelType
r_0005	r_0005-rm	rMM
r_0091	r_0091-rm	rMM
r_0115	r_0115-rm_rmCond	rMM
r_0207	r_0207-rm_rmCond	rMM
r_0208	r_0208-rm_rmCond	rMM
r_0211	r_0211-rm	rMM
r_0216	r_0216-rm	rMM
r_0250	r_0250-rm_rmCond	rMM
r_0307	r_0307-rm	rMM
r_0476	r_0476-rm	rMM
r_0485	r_0485-rm	rMM
r_0486	r_0486-rm	rMM
r_0491	r_0491-rm	rMM
r_0514	r_0514-rm	rMM
r_0536	r_0536-rm	rMM
r_0548	r_0548-rm	rMM
r_0658	r_0658-rm	rMM
r_0663	r_0663-rm	rMM
r_0699	r_0699-rm_rmCond	rMM
r_0820	r_0820-rm_rmCond	rMM
r_0821	r_0821-rm_rmCond	rMM
r_0892	r_0892-rm	rMM
r_0916	r_0916-rm	rMM
r_0961	r_0961-rm	rMM
r_1049	r_1049-rm	rMM
r_1054	r_1054-rm	rMM
r_4040	r_4040-rm	rMM
r_0042	r_0042-rm	rMM
r_0097	r_0097-rm_rmCond	rMM
r_0148	r_0148-rm	rMM
r_0195	r_0195-rm	rMM
r_0214	r_0214-rm_rmCond	rMM
r_0215	r_0215-rm	rMM
r_0225	r_0225-rm	rMM
r_0302	r_0302-rm	rMM
r_0309	r_0309-rm	rMM
r_0310	r_0310-rm	rMM
r_0450	r_0450-rm	rMM
r_0451	r_0451-rm	rMM
r_0466	r_0466-rm	rMM
r_0468	r_0468-rm	rMM
r_0471	r_0471-rm	rMM
r_0528	r_0528-rm	rMM
r_0718	r_0718-rm	rMM
r_0816	r_0816-rm_rmCond	rMM
r_0886	r_0886-rm	rMM
r_0887	r_0887-rm	rMM
r_0889	r_0889-rm	rMM
r_0891	r_0891-rm	rMM
r_0893	r_0893-rm	rMM
r_0915	r_0915-rm	rMM
r_0959	r_0959-rm	rMM
r_0962	r_0962-rm	rMM
r_1051	r_1051-rm	rMM
r_1084	r_1084-rm	rMM
r_1838	r_1838-rm	rMM
r_0097	r_0097-rm-t_0239-act-mm_rmCond	regulator
r_0195	r_0195-rm-t_0608-inh-uncomp	regulator
r_0214	r_0214-rm-t_0722-act-mm_rmCond	regulator
r_0225	r_0225-rm-t_0234-inh-uncomp	regulator
r_0302	r_0302-rm-t_0452-inh-uncomp	regulator
r_0309	r_0309-rm-t_0652-act-mm	regulator
r_0310	r_0310-rm-t_0461-inh-noncomp	regulator
r_0450	r_0450-rm-t_0234-inh-noncomp	regulator
r_0451	r_0451-rm-t_0276-inh-noncomp	regulator
r_0468	r_0468-rm-t_0495-inh-uncomp	regulator
r_0471	r_0471-rm-t_0644-inh-noncomp	regulator
r_0528	r_0528-rm-t_0394-inh-uncomp	regulator
r_0718	r_0718-rm-t_0234-inh-noncomp	regulator
r_0816	r_0816-rm-t_0461-inh-comp_rmCond	regulator
r_0886	r_0886-rm-t_0234-inh-noncomp	regulator
r_0887	r_0887-rm-t_0617-inh-uncomp	regulator
r_0889	r_0889-rm-t_0469-act-mm	regulator
r_0891	r_0891-rm-t_0493-act-mm	regulator
r_0893	r_0893-rm-t_0139-inh-noncomp	regulator
r_0915	r_0915-rm-t_0234-inh-noncomp	regulator
r_0959	r_0959-rm-t_0457-inh-noncomp	regulator
r_1084	r_1084-rm-t_0712-inh-noncomp	regulator
r_0042	r_0042-rm-t_0457-inh-noncomp	regulator
r_0148	r_0148-rm-t_0234-inh-noncomp	regulator
r_0215	r_0215-rm-t_0492-inh-noncomp	regulator
r_0466	r_0466-rm-t_0234-inh-noncomp	regulator
r_0962	r_0962-rm-t_0452-inh-uncomp	regulator
r_1051	r_1051-rm-t_0292-act-mm	regulator
r_1838	r_1838-rm-t_0310-act-mm	regulator
r_0215	r_0215-rm-t_0499-inh-uncomp_ultra	cooperativity
r_0042	r_0042-rm-pairwise-t_0457-inh-noncomp+t_0617-inh-uncomp	2+ regulators
r_0148	r_0148-rm-pairwise-t_0234-inh-noncomp+t_0499-act-mm	2+ regulators
r_0466	r_0466-rm-pairwise-t_0234-inh-noncomp+t_0617-inh-uncomp	2+ regulators
r_0962	r_0962-rm-pairwise-t_0452-inh-noncomp+t_0234-inh-noncomp	2+ regulators
r_1051	r_1051-rm-pairwise-t_0292-act-mm+t_0700-act-mm	2+ regulators
r_1838	r_1838-rm-pairwise-t_0644-inh-noncomp+t_0492-inh-uncomp	2+ regulators
