	Ammonium	Phosphate	Glucose	Leucine	Uracil	MW
D-glucose	0.116563055	0.122113677	0.004440497	0.122113677	0.122113677	
ammonium	0.000756772	0.075677197	0.075677197	0.075677197	0.075677197	
phosphate	0.007348078	7.34808E-05	0.007348078	0.007348078	0.007348078	
sulphate	0.002407022	0.039867235	0.039867235	0.039867235	0.039867235	
uracil	0	0	0	0	2.31977E-05	
L-leucine	0	0	0	8.38606E-05	0	
						
						
CaCl2-2H2O	0.1	0.1	0.1	0.1	0.1	147.02
NaCl	0.1	0.1	0.1	0.1	0.1	58.44
MgSO4-7H2O	0.5	0.5	0.5	0.5	0.5	246.471
KH2(PO4)	1	0.01	1	1	1	136.09
KCl	0	1	0	0	0	NA
(NH4)2SO4	0.05	5	5	5	5	132.1402
Glucose	21	22	0.8	22	22	180.16
Leucine	0	0	0	0.011	0	131.17
Uracil	0	0	0	0	0.0026	112.08
