Reaction	ReactionID	Compartment	Metabolite	MetName	StoiCoef
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	s_0025	(R)-lactate [cytoplasm]	-1.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	s_0709	ferricytochrome c [mitochondrion]	-2.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	s_0710	ferrocytochrome c [mitochondrion]	2.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	s_1399	pyruvate [cytoplasm]	1.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	e_0151	DLD1 [mitochondrial membrane]
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	e_0268	DLD3 [mitochondrial membrane]
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	e_0255	CYC7 [mitochondrial membrane]
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0001	exchange	e_0531	CYC1 [mitochondrial membrane]
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	s_0027	(R)-lactate [mitochondrion]	-1.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	s_0709	ferricytochrome c [mitochondrion]	-2.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	s_0710	ferrocytochrome c [mitochondrion]	2.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	s_1401	pyruvate [mitochondrion]	1.0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	e_0152	DLD2 [mitochondrion]
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	e_0532	CYC1 [mitochondrion]
(R)-lactate:ferricytochrome-c 2-oxidoreductase	r_0002	c_11	e_0256	CYC7 [mitochondrion]
(R,R)-butanediol dehydrogenase	r_0003	c_03	s_0035	(R,R)-2,3-butanediol [cytoplasm]	-1.0
(R,R)-butanediol dehydrogenase	r_0003	c_03	s_1198	NAD [cytoplasm]	-1.0
(R,R)-butanediol dehydrogenase	r_0003	c_03	s_0020	(R)-acetoin [cytoplasm]	1.0
(R,R)-butanediol dehydrogenase	r_0003	c_03	s_0794	H+ [cytoplasm]	1.0
(R,R)-butanediol dehydrogenase	r_0003	c_03	s_1203	NADH [cytoplasm]	1.0
(R,R)-butanediol dehydrogenase	r_0003	c_03	e_0015	BDH1 [cytoplasm]
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	s_0063	(S)-lactate [cytoplasm]	-1.0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	s_0709	ferricytochrome c [mitochondrion]	-2.0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	s_0710	ferrocytochrome c [mitochondrion]	2.0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	s_1399	pyruvate [cytoplasm]	1.0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	e_0704	CYB2 [mitochondrial membrane]
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	e_0531	CYC1 [mitochondrial membrane]
(S)-lactate:ferricytochrome-c 2-oxidoreductase	r_0004	exchange	e_0255	CYC7 [mitochondrial membrane]
1,3-beta-glucan synthase	r_0005	exchange	s_1543	UDP-D-glucose [cytoplasm]	-1.0
1,3-beta-glucan synthase	r_0005	exchange	s_0001	(1->3)-beta-D-glucan [cell envelope]	1.0
1,3-beta-glucan synthase	r_0005	exchange	s_0794	H+ [cytoplasm]	1.0
1,3-beta-glucan synthase	r_0005	exchange	s_1538	UDP [cytoplasm]	1.0
1,3-beta-glucan synthase	r_0005	exchange	e_0682	FKS1 [cytoplasm]
1,3-beta-glucan synthase	r_0005	exchange	e_0364	GSC2 [cytoplasm]
1,6-beta-glucan synthase	r_0006	exchange	s_1543	UDP-D-glucose [cytoplasm]	-1.0
1,6-beta-glucan synthase	r_0006	exchange	s_0004	(1->6)-beta-D-glucan [cell envelope]	1.0
1,6-beta-glucan synthase	r_0006	exchange	s_0794	H+ [cytoplasm]	1.0
1,6-beta-glucan synthase	r_0006	exchange	s_1538	UDP [cytoplasm]	1.0
1,6-beta-glucan synthase	r_0006	exchange	e_0973	KRE6 [cytoplasm]
1,6-beta-glucan synthase	r_0006	exchange	e_0379	SKN1 [cytoplasm]
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	r_0007	c_03	s_0077	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]	-1.0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	r_0007	c_03	s_0312	5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [cytoplasm]	1.0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	r_0007	c_03	e_0465	HIS6 [cytoplasm]
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	s_0119	1-pyrroline-5-carboxylate [mitochondrion]	-1.0
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	s_0807	H2O [mitochondrion]	-2.0
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	s_1200	NAD [mitochondrion]	-1.0
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	s_0799	H+ [mitochondrion]	1.0
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	s_0993	L-glutamate [mitochondrion]	1.0
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	s_1205	NADH [mitochondrion]	1.0
1-pyrroline-5-carboxylate dehydrogenase	r_0012	c_11	e_0431	PUT2 [mitochondrion]
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	s_0311	5-(methylsulfanyl)-2,3-dioxopentyl phosphate [cytoplasm]	-1.0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	s_0803	H2O [cytoplasm]	-3.0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	s_0294	4-methylthio-2-oxobutanoate [cytoplasm]	1.0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	s_0722	formate [cytoplasm]	1.0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	s_0794	H+ [cytoplasm]	6.0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	s_1322	phosphate [cytoplasm]	1.0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	e_0721	ADI1 [cytoplasm]
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	r_0013	c_03	e_0254	UTR4 [cytoplasm]
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	r_0014	c_03	s_0142	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone [cytoplasm]	-1.0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	r_0014	c_03	s_0794	H+ [cytoplasm]	-1.0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	r_0014	c_03	s_0803	H2O [cytoplasm]	-1.0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	r_0014	c_03	s_0313	5-amino-6-(5-phosphoribitylamino)uracil [cytoplasm]	1.0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	r_0014	c_03	s_0419	ammonium [cytoplasm]	1.0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	r_0014	c_03	e_0832	RIB2 [cytoplasm]
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	r_0015	c_03	s_0141	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine [cytoplasm]	-1.0
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	r_0015	c_03	s_0794	H+ [cytoplasm]	-1.0
