SpeciesID	SpeciesName	Annotation
s_0001	(1->3)-beta-D-glucan [cell envelope]	http://identifiers.org/chebi/CHEBI:37671
s_0001	(1->3)-beta-D-glucan [cell envelope]	http://identifiers.org/kegg.compound/C00965
s_0002	(1->3)-beta-D-glucan [cytoplasm]	http://identifiers.org/chebi/CHEBI:37671
s_0002	(1->3)-beta-D-glucan [cytoplasm]	http://identifiers.org/kegg.compound/C00965
s_0003	(1->3)-beta-D-glucan [extracellular]	http://identifiers.org/chebi/CHEBI:37671
s_0003	(1->3)-beta-D-glucan [extracellular]	http://identifiers.org/kegg.compound/C00965
s_0004	(1->6)-beta-D-glucan [cell envelope]	http://identifiers.org/chebi/CHEBI:27380
s_0004	(1->6)-beta-D-glucan [cell envelope]	http://identifiers.org/kegg.compound/C02493
s_0006	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [mitochondrion]	http://identifiers.org/chebi/CHEBI:57602
s_0006	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [mitochondrion]	http://identifiers.org/kegg.compound/C04807
s_0007	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:57470
s_0007	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid [cytoplasm]	http://identifiers.org/kegg.compound/C11514
s_0008	(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:49258
s_0008	(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]	http://identifiers.org/kegg.compound/C06007
s_0009	(2R,3S)-3-isopropylmalate [cytoplasm]	http://identifiers.org/chebi/CHEBI:35121
s_0009	(2R,3S)-3-isopropylmalate [cytoplasm]	http://identifiers.org/kegg.compound/C04411
s_0010	(2S)-2-isopropyl-3-oxosuccinate [cytoplasm]	http://identifiers.org/chebi/CHEBI:17214
s_0010	(2S)-2-isopropyl-3-oxosuccinate [cytoplasm]	http://identifiers.org/kegg.compound/C04236
s_0011	(2S)-2-isopropyl-3-oxosuccinate [mitochondrion]	http://identifiers.org/chebi/CHEBI:17214
s_0011	(2S)-2-isopropyl-3-oxosuccinate [mitochondrion]	http://identifiers.org/kegg.compound/C04236
s_0012	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid [mitochondrion]	http://identifiers.org/chebi/CHEBI:57429
s_0012	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid [mitochondrion]	http://identifiers.org/kegg.compound/C04593
s_0013	(5S,6S)-di-HETE [cytoplasm]	http://identifiers.org/chebi/CHEBI:53026
s_0014	(5S,6S)-di-HETE [nucleus]	http://identifiers.org/chebi/CHEBI:53026
s_0015	(N(omega)-L-arginino)succinic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:57472
s_0015	(N(omega)-L-arginino)succinic acid [cytoplasm]	http://identifiers.org/kegg.compound/C03406
s_0016	(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:49072
s_0016	(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]	http://identifiers.org/kegg.compound/C04272
s_0017	(R)-4'-phosphopantothenic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:15905
s_0017	(R)-4'-phosphopantothenic acid [cytoplasm]	http://identifiers.org/kegg.compound/C03492
s_0018	(R)-5-diphosphomevalonic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:57557
s_0018	(R)-5-diphosphomevalonic acid [cytoplasm]	http://identifiers.org/kegg.compound/C01143
s_0019	(R)-5-phosphomevalonic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:58146
s_0019	(R)-5-phosphomevalonic acid [cytoplasm]	http://identifiers.org/kegg.compound/C01107
s_0020	(R)-acetoin [cytoplasm]	http://identifiers.org/chebi/CHEBI:15686
s_0020	(R)-acetoin [cytoplasm]	http://identifiers.org/kegg.compound/C00810
s_0021	(R)-carnitine [cytoplasm]	http://identifiers.org/chebi/CHEBI:16347
s_0021	(R)-carnitine [cytoplasm]	http://identifiers.org/kegg.compound/C00318
s_0022	(R)-carnitine [extracellular]	http://identifiers.org/chebi/CHEBI:16347
s_0022	(R)-carnitine [extracellular]	http://identifiers.org/kegg.compound/C00318
s_0023	(R)-carnitine [mitochondrion]	http://identifiers.org/chebi/CHEBI:16347
s_0023	(R)-carnitine [mitochondrion]	http://identifiers.org/kegg.compound/C00318
s_0024	(R)-carnitine [peroxisome]	http://identifiers.org/chebi/CHEBI:16347
s_0024	(R)-carnitine [peroxisome]	http://identifiers.org/kegg.compound/C00318
s_0025	(R)-lactate [cytoplasm]	http://identifiers.org/chebi/CHEBI:16004
s_0025	(R)-lactate [cytoplasm]	http://identifiers.org/kegg.compound/C00256
s_0026	(R)-lactate [extracellular]	http://identifiers.org/chebi/CHEBI:16004
s_0026	(R)-lactate [extracellular]	http://identifiers.org/kegg.compound/C00256
s_0027	(R)-lactate [mitochondrion]	http://identifiers.org/chebi/CHEBI:16004
s_0027	(R)-lactate [mitochondrion]	http://identifiers.org/kegg.compound/C00256
s_0028	(R)-mevalonate [cytoplasm]	http://identifiers.org/chebi/CHEBI:36464
s_0028	(R)-mevalonate [cytoplasm]	http://identifiers.org/kegg.compound/C00418
s_0029	(R)-mevalonate [extracellular]	http://identifiers.org/chebi/CHEBI:36464
s_0029	(R)-mevalonate [extracellular]	http://identifiers.org/kegg.compound/C00418
s_0030	(R)-pantoate [cytoplasm]	http://identifiers.org/chebi/CHEBI:15980
s_0030	(R)-pantoate [cytoplasm]	http://identifiers.org/kegg.compound/C00522
s_0031	(R)-pantothenate [cytoplasm]	http://identifiers.org/chebi/CHEBI:29032
s_0031	(R)-pantothenate [cytoplasm]	http://identifiers.org/kegg.compound/C00864
s_0032	(R)-pantothenate [extracellular]	http://identifiers.org/chebi/CHEBI:29032
s_0032	(R)-pantothenate [extracellular]	http://identifiers.org/kegg.compound/C00864
s_0033	(R)-S-lactoylglutathione [cytoplasm]	http://identifiers.org/chebi/CHEBI:57474
s_0033	(R)-S-lactoylglutathione [cytoplasm]	http://identifiers.org/kegg.compound/C03451
s_0034	(R)-S-lactoylglutathione [mitochondrion]	http://identifiers.org/chebi/CHEBI:57474
s_0034	(R)-S-lactoylglutathione [mitochondrion]	http://identifiers.org/kegg.compound/C03451
s_0035	(R,R)-2,3-butanediol [cytoplasm]	http://identifiers.org/chebi/CHEBI:16982
s_0035	(R,R)-2,3-butanediol [cytoplasm]	http://identifiers.org/kegg.compound/C03044
s_0036	(R,R)-2,3-butanediol [extracellular]	http://identifiers.org/chebi/CHEBI:16982
s_0036	(R,R)-2,3-butanediol [extracellular]	http://identifiers.org/kegg.compound/C03044
s_0037	(S)-2,3-epoxysqualene [cytoplasm]	http://identifiers.org/chebi/CHEBI:15441
s_0037	(S)-2,3-epoxysqualene [cytoplasm]	http://identifiers.org/kegg.compound/C01054
s_0038	(S)-2,3-epoxysqualene [endoplasmic reticulum]	http://identifiers.org/chebi/CHEBI:15441
s_0038	(S)-2,3-epoxysqualene [endoplasmic reticulum]	http://identifiers.org/kegg.compound/C01054
s_0039	(S)-2-acetyl-2-hydroxybutanoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:49256
s_0039	(S)-2-acetyl-2-hydroxybutanoate [mitochondrion]	http://identifiers.org/kegg.compound/C06006
s_0042	(R)-3-hydroxydecanoyl-CoA [peroxisome]	http://identifiers.org/chebi/CHEBI:28325
s_0042	(R)-3-hydroxydecanoyl-CoA [peroxisome]	http://identifiers.org/kegg.compound/C05264
s_0045	(R)-3-hydroxyhexacosanoyl-CoA [peroxisome]	http://identifiers.org/chebi/CHEBI:52976
s_0048	(R)-3-hydroxylauroyl-CoA [peroxisome]	http://identifiers.org/chebi/CHEBI:27668
s_0048	(R)-3-hydroxylauroyl-CoA [peroxisome]	http://identifiers.org/kegg.compound/C05262
s_0051	(R)-3-hydroxypalmitoyl-CoA [peroxisome]	http://identifiers.org/chebi/CHEBI:27402
s_0051	(R)-3-hydroxypalmitoyl-CoA [peroxisome]	http://identifiers.org/kegg.compound/C05258
s_0054	(R)-3-hydroxytetradecanoyl-CoA [peroxisome]	http://identifiers.org/chebi/CHEBI:27466
s_0054	(R)-3-hydroxytetradecanoyl-CoA [peroxisome]	http://identifiers.org/kegg.compound/C05260
s_0056	(S)-3-methyl-2-oxopentanoate [cytoplasm]	http://identifiers.org/chebi/CHEBI:35146
s_0056	(S)-3-methyl-2-oxopentanoate [cytoplasm]	http://identifiers.org/kegg.compound/C00671
s_0058	(S)-3-methyl-2-oxopentanoate [extracellular]	http://identifiers.org/chebi/CHEBI:35146
s_0058	(S)-3-methyl-2-oxopentanoate [extracellular]	http://identifiers.org/kegg.compound/C00671
s_0060	(S)-3-methyl-2-oxopentanoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:35146
s_0060	(S)-3-methyl-2-oxopentanoate [mitochondrion]	http://identifiers.org/kegg.compound/C00671
s_0061	(S)-dihydroorotate [cytoplasm]	http://identifiers.org/chebi/CHEBI:30864
s_0061	(S)-dihydroorotate [cytoplasm]	http://identifiers.org/kegg.compound/C00337
s_0062	(S)-lactaldehyde [cytoplasm]	http://identifiers.org/chebi/CHEBI:18041
s_0062	(S)-lactaldehyde [cytoplasm]	http://identifiers.org/kegg.compound/C00424
s_0063	(S)-lactate [cytoplasm]	http://identifiers.org/chebi/CHEBI:16651
s_0063	(S)-lactate [cytoplasm]	http://identifiers.org/kegg.compound/C00186
s_0064	(S)-lactate [extracellular]	http://identifiers.org/chebi/CHEBI:16651
s_0064	(S)-lactate [extracellular]	http://identifiers.org/kegg.compound/C00186
s_0065	(S)-lactate [mitochondrion]	http://identifiers.org/chebi/CHEBI:16651
s_0065	(S)-lactate [mitochondrion]	http://identifiers.org/kegg.compound/C00186
s_0066	(S)-malate [cytoplasm]	http://identifiers.org/chebi/CHEBI:15589
s_0066	(S)-malate [cytoplasm]	http://identifiers.org/kegg.compound/C00149
s_0067	(S)-malate [extracellular]	http://identifiers.org/chebi/CHEBI:15589
s_0067	(S)-malate [extracellular]	http://identifiers.org/kegg.compound/C00149
s_0068	(S)-malate [mitochondrion]	http://identifiers.org/chebi/CHEBI:15589
s_0068	(S)-malate [mitochondrion]	http://identifiers.org/kegg.compound/C00149
s_0069	(S)-malate [peroxisome]	http://identifiers.org/chebi/CHEBI:15589
